Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
9-Jan-26,WTK,Williamson Tea Kenya Plc,136,350,149,150,149.5,149.25,0.25,0.17%,8038,-
9-Jan-26,CGEN,Car and General (K) Ltd,19.8,74.25,56,61.5,57.25,56.25,1,1.78%,518,-
9-Jan-26,ABSA,ABSA Bank Kenya Plc,15,33,25.35,26,25.55,25.5,0.05,0.20%,1961778,-
9-Jan-26,BKG,BK Group Plc,28.75,50,40.3,43.95,42.95,41.4,1.55,3.74%,28729,-
9-Jan-26,COOP,Co-operative Bank of Kenya Ltd,13.8,31.5,25.6,26.5,25.95,26.1,-0.15,-0.57%,381773,-
9-Jan-26,DTK,Diamond Trust Bank Kenya Ltd,66,170,116,117,116.5,116.5,-,-,13416,-
9-Jan-26,EQTY,Equity Group Holdings Plc,41.2,80,69.25,69.75,69.5,69.5,-,-,1598732,-
9-Jan-26,HFCK,HF Group Ltd,5.3,11.5,10.25,10.35,10.35,10.35,-,-,338806,-
9-Jan-26,IMH,I & M Holdings Plc,29.5,52,44.5,45,44.9,44.95,-0.05,-0.11%,1124866,-
9-Jan-26,KCB,KCB Group Plc,35,80.5,66.5,67.25,67,66.5,0.5,0.75%,1992615,-
9-Jan-26,NCBA,NCBA Group Plc,48,100,88.25,89.5,89,89.5,-0.5,-0.56%,65568,-
9-Jan-26,SBIC,Stanbic Holdings Plc,147,270,197.5,197.75,197.75,197.75,-,-,9127,-
9-Jan-26,SCBK,Standard Chartered Bank Kenya Ltd,260,365,303,310,305.75,302.25,3.5,1.16%,7051,-
9-Jan-26,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
9-Jan-26,EVRD,Eveready East Africa Ltd,0.75,1.78,1.27,1.41,1.37,1.29,0.08,6.20%,56602,-
9-Jan-26,XPRS,Express Kenya Plc,2.8,10,7.2,7.5,7.32,7.3,0.02,0.27%,1979,-
9-Jan-26,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
9-Jan-26,KQ,Kenya Airways Plc,1.56,6.02,3.38,3.44,3.42,3.45,-0.03,-0.87%,159110,-
9-Jan-26,LKL,Longhorn Publishers Plc,2.35,3.5,2.8,2.9,2.81,2.86,-0.05,-1.75%,1423,-
9-Jan-26,NBV,Nairobi Business Ventures Ltd,1.33,2.16,1.39,1.53,1.41,1.4,0.01,0.71%,28671,-
9-Jan-26,NMG,Nation Media Group Plc,10.05,20,12,12.6,12,12.4,-0.4,-3.23%,45835,-
9-Jan-26,SMER,Sameer Africa Plc,2.7,21.5,13.05,15,14.4,13.95,0.45,3.23%,225607,-
9-Jan-26,SGL,Standard Group Plc,5.2,7.14,5.7,6.16,5.86,6.16,-0.3,-4.87%,5475,-
9-Jan-26,TPSE,TPS Eastern Africa (Serena) Ltd,13.05,18.2,14.7,15.75,15.55,15,0.55,3.67%,1383,-
9-Jan-26,UCHM,Uchumi Supermarket Plc,0.23,2.93,1.1,1.22,1.16,1.22,-0.06,-4.92%,586673,-
9-Jan-26,SCAN,WPP ScanGroup Plc,2,3.4,2.1,2.51,2.32,2.32,-,-,58277,-
9-Jan-26,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
9-Jan-26,BAMB,Bamburi Cement Ltd,47.2,56.5,47.2,47.2,47.2,47.2,-,-,-,-
9-Jan-26,CRWN,Crown Paints Kenya Plc,30,70.75,54.75,59,57.75,56.75,1,1.76%,4924,-
9-Jan-26,CABL,East African Cables Plc,1,2.44,1,1,1,1,-,-,-,-
9-Jan-26,PORT,East African Portland Cement Ltd,28,101,72,75.25,74.75,73.5,1.25,1.70%,2852,-
9-Jan-26,KEGN,Kenya Electricity Generating Company Plc,4.5,10.75,9.6,10.05,9.82,9.5,0.32,3.37%,2670368,-
9-Jan-26,KPLC-P4,KPLC-P4,4,5,5,5,5,5,-,-,-,-
9-Jan-26,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
9-Jan-26,KPLC,Kenya Power and Lighting Company Plc,5.7,19,14.9,15.5,15.05,14.9,0.15,1.01%,1941836,-
9-Jan-26,TOTL,TotalEnergies Marketing Kenya Plc,21,47,38.5,39.35,39,39,-,-,17126,-
9-Jan-26,UMME,Umeme Ltd,5.8,24.75,8,8.4,8.3,8.26,0.04,0.48%,977802,-
9-Jan-26,BRIT,Britam Holdings Plc,5.92,13.4,9.2,10.1,9.24,9.2,0.04,0.43%,384927,-
9-Jan-26,CIC,CIC Insurance Group Ltd,2.55,6.62,4.45,4.6,4.56,4.59,-0.03,-0.65%,134227,-
9-Jan-26,JUB,Jubilee Holdings Ltd,182,437.75,335,350,345.75,345.75,-,-,37,-
9-Jan-26,KNRE,Kenya Re-Insurance Corporation Ltd,1.5,4.02,3.15,3.2,3.17,3.18,-0.01,-0.31%,3342076,-
9-Jan-26,LBTY,Liberty Kenya Holdings Ltd,9.1,12.2,10.2,10.3,10.25,10.15,0.1,0.99%,17541,-
9-Jan-26,SLAM,Sanlam Allianz Holdings (Kenya) Plc,5.5,11,8.48,8.5,8.5,8.48,0.02,0.24%,7028,-
9-Jan-26,CTUM,Centum Investment Company Plc,10.85,16.75,13,13.5,13.35,12.95,0.4,3.09%,10293,-
